Species,Scientific name
Australian Magpie,Cracticus tibicen
Apostlebird,Struthidea cinerea
Australian Raven,Corvus coronoides
Common Blackbird,Turdus merula
Southern Boobook,Ninox novaeseelandiae
Black-chinned Honeyeater,Melithreptus gularis
Black-faced Cuckoo-shrike,Coracina novaehollandiae
Blue-faced Honeyeater,Entomyzon cyanotis
Black-faced Woodswallow,Artamus cinereus
Brown-headed Honeyeater,Melithreptus brevirostris
Blue Bonnet,Northiella haematogaster
Brown Quail,Coturnix ypsilophora
Brush Cuckoo,Cacomantis variolosus
Buff-rumped Thornbill,Acanthiza reguloides
Brown Songlark,Cincloramphus cruralis
Brown Thornbill,Acanthiza pusilla
Brown Treecreeper,Climacteris picumnus
Budgerigar,Melopsittacus undulatus
Common Bronzewing,Phaps chalcoptera
Crimson Chat,Epthianura tricolor
Cockatiel,Nymphicus hollandicus
Crested Pigeon,Ocyphaps lophotes
Crimson Rosella,Platycercus elegans
Common Starling,Sturnus vulgaris
Crested Shrike-tit,Falcunculus frontatus
Double-barred Finch,Taeniopygia bichenovii
Diamond Dove,Geopelia cuneata
Diamond Firetail,Stagonopleura guttata
Dollarbird,Eurystomus orientalis
Dusky Woodswallow,Artamus cyanopterus
European Goldfinch,Carduelis carduelis
Eastern Rosella,Platycercus eximius
Eurasian Skylark,Alauda arvensis
Eastern Yellow Robin,Eopsaltria australis
Fairy Martin,Petrochelidon ariel
Fan-tailed Cuckoo,Cacomantis flabelliformis
Fuscous Honeyeater,Lichenostomus fuscus
Galah,Eolophus roseicapillus
Gang-gang Cockatoo,Callocephalon fimbriatum
Grey Butcherbird,Cracticus torquatus
Grey-crowned Babbler,Pomatostomus temporalis
Grey Currawong,Strepera versicolor
Grey Fantail,Rhipidura albiscapa
Grey Shrike-thrush,Colluricincla harmonica
Golden Whistler,Pachycephala pectoralis
Horsfield's Bronze-Cuckoo,Chalcites baslis
Hooded Robin,Melanodryas cucullata
House Sparrow,Passer domesticus
Jacky Winter,Microeca fascinans
Australian King-Parrot,Alisterus scapularis
Long-billed Corella,Cacatua tenuirostris
Little Corella,Cacatua sanguinea
Little Friarbird,Philemon citreogularis
Leaden Flycatcher,Myiagra rubecula
Laughing Kookaburra,Dacelo novaeguineae
Little Lorikeet,Glossopsitta pusilla
Little Raven,Corvus mellori
Magpie-lark,Grallina cyanoleuca
Mistletoebird,Dicaeum hirundinaceum
Masked Woodswallow,Artamus personatus
Noisy Friarbird,Philemon corniculatus
Noisy Miner,Manorina melanocephala
Olive-backed Oriole,Oriolus sagittatus
Australian Owlet-nightjar,Aegotheles cristatus
Painted Button-quail,Turnix varius
Pied Butcherbird,Cracticus nigrogularis
Pied Currawong,Strepera graculina
Peaceful Dove,Geopelia striata
Painted Honeyeater,Grantiella picta
Pallid Cuckoo,Cacomantis pallidus
Rainbow Bee-eater,Merops ornatus
Red-browed Finch,Neochmia temporalis
Red-backed Kingfisher,Todiramphus pyrrhopygius
Red-capped Robin,Petroica goodenovii
Restless Flycatcher,Myiagra inquieta
Australasian Pipit,Anthus novaeseelandiae
Red-rumped Parrot,Psephotus haematonotus
Rufous Songlark,Cincloramphus mathewsi
Rufous Whistler,Pachycephala rufiventris
Red Wattlebird,Anthochaera carunculata
Shining Bronze-Cuckoo,Chalcites lucidus
Horsfield's Bushlark,Mirafra javanica
Sulphur-crested Cockatoo,Cacatua galerita
Scarlet Robin,Petroica boodang
Silvereye,Zosterops lateralis
Satin Flycatcher,Myiagra cyanoleuca
Superb Fairy-wren,Malurus cyaneus
Sacred Kingfisher,Todiramphus sanctus
Straw-necked Ibis,Threskiornis spinicollis
Superb Parrot,Polytelis swainsonii
Spotted Pardalote,Pardalotus punctatus
Speckled Warbler,Chthonicola sagittata
Striated Thornbill,Acanthiza lineata
Spotted Dove,Streptopelia chinensis
Striated Pardalote,Pardalotus striatus
Stubble Quail,Coturnix pectoralis
Southern Whiteface,Aphelocephala leucopsis
Tawny Frogmouth,Podargus strigoides
Tree Martin,Petrochelidon nigricans
Turquoise Parrot,Neophema pulchella
Varied Sittella,Daphoenositta chrysoptera
White-throated Gerygone,Gerygone albogularis
White-browed Babbler,Pomatostomus superciliosus
White-bellied Cuckoo-shrike,Coracina papuensis
White-browed Scrubwren,Sericornis frontalis
White-browed Woodswallow,Artamus superciliosus
Weebill,Smicrornis brevirostris
Welcome Swallow,Hirundo neoxena
White-fronted Chat,Epthianura albifrons
Western Gerygone,Gerygone fusca
Australian White Ibis,Threskiornis molucca
White-naped Honeyeater,Melithreptus lunatus
White-plumed Honeyeater,Lichenostomus penicillatus
White-throated Treecreeper,Cormobates leucophaea
Willie Wagtail,Rhipidura leucophrys
White-winged Chough,Corcorax melanorhamphos
White-winged Triller,Lalage sueurii
Yellow-faced Honeyeater,Lichenostomus chrysops
Yellow-rumped Thornbill,Acanthiza chrysorrhoa
Yellow Thornbill,Acanthiza nana
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus
Yellow-tufted Honeyeater,Lichenostomus melanops